County,Calendar Year,Elderly CalFresh July,Age 18 to 59 CalFresh July,Children CalFresh July,ESL CalFresh July CY,Total Population CY,Total Elderly 60Plus CY,Total Children Under 18 CY,Total ESL Over age 5 CY,Total SSI Recipients CY,,,,,,
Statewide,2014,"215,546","1,960,981","2,288,471","1,343,916","38,739,410","7,107,137","9,213,655","3,760,183","1,193,089",,,,,,
Alameda,2014,"8,668","59,357","61,616","40,005","1,599,685","291,375","342,632","139,309","47,823",,,,,,
Alpine,2014,14,122,60,0,"1,163",353,223,23,39,,,,,,
Amador,2014,227,"1,907","1,261",97,"37,447","12,635","5,905",559,696,,,,,,
Butte,2014,"1,414","17,170","13,224","2,689","223,899","52,958","45,701","5,637","10,866",,,,,,
Calaveras,2014,404,"3,021","1,846",130,"45,009","15,672","7,781",598,"1,056",,,,,,
Colusa,2014,76,701,"1,007",559,"22,139","4,164","6,179","3,111",563,,,,,,
Contra Costa,2014,"3,571","32,543","37,059","16,216","1,102,941","226,850","253,077","68,215","24,288",,,,,,
Del Norte,2014,212,"2,800","2,197",223,"27,235","6,214","5,853",725,"1,816",,,,,,
El Dorado,2014,887,"7,138","4,858",900,"182,547","47,296","37,694","3,522","2,851",,,,,,
Fresno,2014,"6,644","100,050","126,245","61,169","969,410","152,453","278,353","109,792","41,053",,,,,,
Glenn,2014,137,"1,614","2,000",775,"28,828","5,854","7,616","2,410","1,111",,,,,,
Humboldt,2014,"1,011","10,845","7,621",900,"134,730","30,815","27,489","2,266","5,545",,,,,,
Imperial,2014,"1,984","18,742","20,513","21,382","183,179","29,728","53,679","33,803","10,238",,,,,,
Inyo,2014,138,"1,054",949,290,"18,626","5,425","3,891",510,402,,,,,,
Kern,2014,"4,640","61,310","84,788","37,256","876,668","127,006","254,635","79,181","31,592",,,,,,
Kings,2014,724,"10,647","12,818","5,750","149,433","20,063","44,777","15,306","4,635",,,,,,
Lake,2014,681,"5,882","4,736",824,"65,191","18,389","13,546","1,951","3,663",,,,,,
Lassen,2014,135,"1,677","1,376",69,"31,841","6,465","5,544",712,880,,,,,,
Los Angeles,2014,"54,376","515,613","629,908","446,111","10,124,684","1,771,668","2,332,873","1,394,350","389,765",,,,,,
Madera,2014,722,"10,928","17,461","10,124","154,181","27,787","42,541","20,778","4,505",,,,,,
Marin,2014,"1,048","4,650","4,938","3,796","261,033","71,692","52,956","11,871","3,034",,,,,,
Mariposa,2014,155,"1,111",718,44,"18,127","6,151","2,984",199,454,,,,,,
Mendocino,2014,875,"7,537","5,810","1,921","88,523","23,550","19,209","4,690","3,145",,,,,,
Merced,2014,"1,691","24,535","32,106","15,819","267,714","39,044","79,731","33,521","10,825",,,,,,
Modoc,2014,30,537,448,61,"9,564","3,011","1,868",353,421,,,,,,
Mono,2014,46,487,342,216,"13,924","2,537","2,892","1,069",100,,,,,,
Monterey,2014,"2,049","16,701","30,673","22,091","429,797","74,649","112,780","74,856","8,488",,,,,,
Napa,2014,405,"2,975","4,107","2,903","140,646","32,606","30,516","11,600","2,118",,,,,,
Nevada,2014,579,"4,462","2,934",274,"98,354","32,223","17,032","1,472","1,796",,,,,,
Orange,2014,"16,507","95,253","139,965","115,464","3,137,744","580,776","730,630","325,313","68,202",,,,,,
Placer,2014,"1,321","9,324","7,662","2,015","368,211","89,717","80,369","6,222","5,087",,,,,,
Plumas,2014,102,"1,062",718,20,"19,692","6,932","3,284",202,651,,,,,,
Riverside,2014,"12,690","128,014","152,467","66,413","2,305,796","419,886","603,376","172,588","57,657",,,,,,
Sacramento,2014,"8,287","106,471","104,684","48,228","1,473,817","264,209","360,017","94,516","62,271",,,,,,
San Benito,2014,271,"2,614","3,309","1,799","57,166","9,780","15,000","5,516",899,,,,,,
San Bernardino,2014,"15,915","178,040","198,181","71,716","2,111,913","317,699","580,241","164,799","68,029",,,,,,
San Diego,2014,"17,845","130,550","135,621","98,590","3,248,547","589,848","765,993","228,246","76,554",,,,,,
San Francisco,2014,"6,253","26,661","19,297","20,731","853,732","177,396","118,492","103,652","37,503",,,,,,
San Joaquin,2014,"4,280","52,406","63,441","24,298","717,238","117,817","198,115","65,961","27,296",,,,,,
San Luis Obispo,2014,"1,310","9,016","8,231","3,388","276,075","70,143","50,276","10,622","4,290",,,,,,
San Mateo,2014,"3,303","11,791","17,299","14,317","756,371","160,063","160,673","55,943","10,783",,,,,,
